COD_PRO;NAME;Y04;Y05;Y06;Y07;Y08;Y09
74; Brindisi;0,046051344;0,155393812;0,207497918;0,222742173;0,19764871;0,202516421
75; Lecce;0,050024941;0,039734588;0,088525352;0,097095688;0,115514082;0,151089399
76; Potenza;0,117199699;0,115369078;0,141717558;0,175514543;0,189218221;0,204391631
77; Matera;0,076290143;0,068757171;0,078425247;0,072792503;0,078485539;0,224659937
78; Cosenza;0,110968996;0,12920685;0,197207396;0,208814308;0,159061019;0,197591514
79; Catanzaro;0,111597848;0,132567517;0,116747412;0,128209379;0,128209379;0,140064833
80; Reggio di Calabria;0,097978936;0,096900337;0,114889128;0,127746532;0,160316573;0,151664148
81; Trapani;0,060477063;0,053260627;0,085063793;0,108147585;0,11447104;0,088134175
82; Palermo;0,074653161;0,080681112;0,069372187;0,040624438;0,046228544;0,055155189
83; Messina;0,016862454;0,020443263;0,018873788;0,03759981;0,031289691;0,04401786
84; Agrigento;0,049862293;0,062772546;0,139368512;0,159224802;0,17168937;0,152483485
85; Caltanissetta;0,04865906;0,044731179;0,05209725;0,052593913;0,109950484;0,12549042
86; Enna;0,037264224;0,071245269;0,081084561;0,096788741;0,053922897;0,055902522
87; Catania;0,036989559;0,054103748;0,063883906;0,066098185;0,101415055;0,067751117
88; Ragusa;0,088839097;0,096497195;0,096771854;0,081672759;0,129403388;0,159387605
89; Siracusa;0,023779073;0,03115868;0,033674544;0,065705569;0,069901768;0,03790737
90; Sassari;0,041167838;0,055065047;0,144820093;0,235963011;0,285317739;0,310557459
91; Nuoro;0,072853064;0,156499995;0,198755261;0,224365237;0,29034072;0,504088638
92; Cagliari;0,020930041;0,057583046;0,102987421;0,122580361;0,204163027;0,321459856
93; Pordenone;0,112106895;0,188522004;0,26498877;0,295979561;0,462962963;0,767451891
94; Isernia;0,069931402;0,038815215;0,036462109;0,051231725;0,056802921;0,109952801
95; Oristano;0,02236331;0,055864297;0,043308453;0,051359858;0,095283468;0,561994676
96; Biella;0,359887546;0,356495011;0,340215523;0,369767547;0,520380265;0,506136664
97; Lecco;0,512848934;0,532393687;0,533899264;0,536822998;0,541112286;0,541324153
98; Lodi;0,405378574;0,381339035;0,364857944;0,384857835;0,405188987;0,422369026
99; Rimini;0,249610668;0,256630729;0,271247424;0,373753162;0,424471231;0,436418711
100; Prato;0,337434948;0,349517736;0,355282641;0,357802308;0,387676115;0,39750599
101; Crotone;0,121799523;0,181915932;0,182893621;0,215818124;0,228681287;0,137554716
102; Vibo Valentia;0,08526322;0,07947759;0,080913607;0,12650353;0,083922623;0,106558152
103; Verbania;0,51623466;0,531871461;0,774264074;0,723845219;0,735278984;0,716846295
104; Olbia;0,036450116;0,07166483;0,240320112;0,321172515;0,355992412;0,330114464
105; Lanusei;0,038058028;0,057535041;0,303886909;0,412934518;0,579341965;0,569789832
106; Sanluri;0,119544572;0,084827745;0,398800585;0,603430325;0,565907539;0,566725903
107; Carbonia;0,031329019;0,072823985;0,109382838;0,135793148;0,132566203;0,219335124
108; Monza;0,583648418;0,558948894;0,519176756;0,527623556;0,523718063;0,548769738
109; Fermo;0,109728428;0,124445379;0,13772819;0,199306203;0,267252938;0,281639409
110; Andria;0,100796598;0,098731162;0,109129646;0,119679565;0,146526717;0,152500046
